Song,Total Plays
Whiplash,926
Creeping Death,1564
Enter Sandman,1385
The Memory Remains,305
Wherever I May Roam,824
Nothing Else Matters,1258
Dirty Window,44
Sad But True,1366
Whiskey in the Jar,85
For Whom the Bell Tolls,1530
Moth Into Flame,184
Fade to Black,1209
Seek and Destroy,1614
Battery,960
One,1539
Master of Puppets,1687
Cyanide,193
"Damage, Inc.",303
Ride the Lightning,386
Harvester of Sorrow,800
No Leaf Clover,140
Welcome Home (Sanitarium),982
Metal Militia,90
Trapped Under Ice,27
Bleeding Me,164
Holier Than Thou,96
Hardwired,169
Fuel,528
The Unforgiven,515
Fight Fire with Fire,339
Spit Out The Bone,37
No Remorse,234
Blackened,500
Through the Never,245
The End of the Line,150
I Disappear,93
Am I Evil?,752
Wasting My Hate,102
Hit the Lights,223
Orion,69
The Shortest Straw,99
King Nothing,359
Fixxxer,1
Breadfan,324
Frantic,195
The Day That Never Comes,177
The Four Horsemen,554
The Struggle Within,20
My Friend of Misery,21
The God That Failed,104
Of Wolf and Man,261
Don't Tread On Me,20
Fight Fire With Fire,1
Now That We're Dead,129
When a Blind Man Cries,5
Turn the Page,93
All Within My Hands,7
Disposable Heroes,159
House of the Rising Sun,1
The Call of Ktulu,85
Confusion,31
The Outlaw Torn,16
Halo On Fire,90
The Unforgiven III,10
(Anesthesia) - Pulling Teeth,128
St. Anger,183
Here Comes Revenge,22
Lords of Summer,41
The Thing That Should Not Be,267
"Atlas, Rise!",126
Phantom Lord,159
Motorbreath,316
Dream No More,21
Head Injury,2
All Your Lies,1
Leper Messiah,118
Please Don't Judas Me,4
Veteran of the Psychic Wars,2
Last Caress,809
"Die, Die My Darling",120
Spit Out the Bone,24
Stone Cold Crazy,156
The Wait,25
Helpless,64
Blitzkrieg,85
ManUNKind,2
T.V. Eye,1
Clampdown,2
Mr. Soul,2
Hero of the Day,71
Jump in the Fire,92
The Frayed Ends of Sanity,12
The Unforgiven II,6
All Nightmare Long,103
...And Justice for All,257
I Just Want to Celebrate,3
In My Life,1
Diary of a Madman,1
"Broken, Beat & Scarred",156
Carpe Diem Baby,4
Rapid Fire,3
Hell and Back,16
Escape,1
Rebel of Babylon,1
Sabbra Cadabra,6
Iron Man,3
Paranoid,2
Suicide & Redemption,2
So What,307
Tuesday's Gone,5
Green Hell,11
To Live Is To Die,1
My Apocalypse,37
Just a Bullet Away,1
Killing Time,18
Iced Honey,4
The View,4
White Light/White Heat,6
Mercyful Fate,8
Hate Train,1
Motorcycle Man,2
The Prince,33
It's Electric,1
Mistress Dread,1
Dragon,1
Junior Dad,1
Overkill,65
That Was Just Your Life,170
Dyers Eve,35
The Judas Kiss,30
Too Late Too Late,7
Sweet Jane,1
You Really Got Me,1
All Day and All of the Night,1
Damage Case,3
The Ecstasy of Gold,1
The Small Hours,7
The Train Kept-A-Rollin',1
Stone Dead Forever,2
Hole in the Sky,2
Until It Sleeps,242
Devil's Dance,44
Brothers in Arms,2
Only Happy When It Rains,1
The Other New Song,4
The New Song,4
Commando,5
Bass Solo,578
Guitar Solo,737
Sweet Amber,1
Some Kind of Monster,3
The Unnamed Feeling,17
53rd & 3rd,2
MTV: 20 Years of the VMA's Medley,1
mtv:ICON Medley,1
Dead Kennedy Rolls,2
"Today Your Love, Tomorrow the World",1
Now I Wanna Sniff Some Glue,1
Mastertarium,29
Blind,2
Clown,1
Earache My Eye,3
Sad But True/American Bad Ass,2
Counting,2
Fortunate Son,2
American Badass,1
2 x 4,10
Detroit Rock City,1
- Human,4
Bass/Guitar Doodle,220
Low Man's Lyric,65
Poor Twisted Me,4
Kill/Ride Medley,127
Ain't My Bitch,174
Stranglehold,1
Mama Said,2
The Chase Is Better Than the Catch,1
(We Are) The Road Crew,1
London Dungeon,2
Instrumental Medley,24
Justice Medley,209
Drum Solo,112
Eye of the Beholder,125
Crash Course in Brain Surgery,1
The Money Will Roll Right In,2
The Mechanix,32
Sucking My Love,4
Let It Loose,6
